full-name,short-name,symbol,slug,phone,fax,tty,email,cross-street,main-url,address1,address2,city,region,postal-code,floor,room,latitude,longitude
Photography Collection,Photography Collection,PHG,photography-collection,(212) 930-0837,(212) 930-0530,,photography@nypl.org,,https://www.nypl.org/locations/divisions/photography-collection,476 Fifth Avenue (42nd St and Fifth Ave),,New York,,10018,Third Floor,308,40.7532,-73.9822
Mulberry Street Library,Mulberry Street,ML,mulberry-street,(212) 966-3424,,,Mulberry_Branch@nypl.org,Between Lafayette & Mulberry Streets,https://www.nypl.org/locations/mulberry-street,10 Jersey Street,,New York,,10012,Lower Level 2,,40.7242,-73.9956
Spencer Collection,Spencer Collection,SPN,spencer-collection,(212) 930-0817,(212) 930-0530,,spencer@nypl.org,,https://www.nypl.org/locations/divisions/spencer-collection,476 Fifth Avenue (42nd St and Fifth Ave),,New York,,10018,Third Floor,308,40.7532,-73.9822
Morris Park Library,Morris Park,MP,morris-park,(718) 931-0636,,,,between Radcliff and Colden Aves.,https://www.nypl.org/locations/morris-park,985 Morris Park Avenue,,Bronx,,10462,First Floor,,40.8467,-73.8558
Picture Collection,Picture Collection,MMPC,picture-collection,(212) 340-0878,,,picturecollection@nypl.org,,https://www.nypl.org/locations/divisions/picture-collection,476 Fifth Avenue (42nd St and Fifth Ave),,New York,,10018,First Floor,100,40.7532,-73.9822
Grand Central Library,Grand Central,GC,grand-central,(212) 621-0670,,,,between Lexington &amp; Third Aves.,https://www.nypl.org/locations/grand-central,135 East 46th Street,,New York,,10017,,,40.7539,-73.974
Battery Park City Library,Battery Park City,BT,battery-park-city,(212) 790-3499,,,BatteryParkCity@nypl.org,at Murray Street,https://www.nypl.org/locations/battery-park-city,175 North End Avenue,,New York,,10282,First Floor,,40.7155,-74.0157
St. George Library Center,Adult Learning Center,SGC ALC,,(718) 816-1025,,,,near Borough Hall,,5 Central Avenue,,Staten Island,,10301,Lower Level,,40.6419,-74.0768
Mariners Harbor Library,Mariners Harbor,MN,mariners-harbor,(212) 621-0690,,,marinersharbor@nypl.org,between Arlington Pl. and Brabant St.,https://www.nypl.org/locations/mariners-harbor,206 South Ave,,Staten Island,,10303,,,40.6348,-74.1665
"The Miriam and Ira D. Wallach Division of Art, Prints and Photographs",Wallach Division,WAL,wallach-division,(212) 930-0835,,,art@nypl.org,,https://www.nypl.org/locations/divisions/wallach-division,476 Fifth Avenue (42nd St and Fifth Ave),,New York,,10018,,,40.7532,-73.9822
53rd Street Library,53rd Street,FT,53rd-street,(212) 714-8400,,,,bet. 5th and 6th Avenues,https://www.nypl.org/locations/53rd-street,18 West 53rd Street,,New York,,10019,,,40.7608,-73.9773
